sessions_viewed,time_spent_minutes,moodlet_logins,days_since_last_login,engagement_level,quiz_attempts,rewatched_sessions,strategy_score,leadership_score,sustainability_score,finance_score,operations_score,marketing_score,digital_transformation_score,behaviour_score,completion_status,learning_preference
4,405,12,11,4,3,4,12,3,36,58,84,96,63,57.375,0,Case Study
4,59,17,2,2,6,1,0,12,21,59,92,91,92,48.45833333333333,0,Mixed
6,319,0,44,8,6,1,33,44,57,62,69,8,53,55.541666666666664,0,Quiz
3,348,15,17,3,3,6,92,41,67,56,36,11,50,50.375,0,Video
5,327,12,39,9,5,7,47,48,92,91,64,68,38,60.25,0,Video
3,266,9,20,4,2,7,76,19,43,50,50,53,3,43.458333333333336,0,Video
2,360,11,14,6,5,3,47,76,33,55,0,53,2,53.5,0,Video
6,228,29,32,10,1,0,48,80,76,26,90,27,63,66.0,1,Quiz
7,269,1,34,5,7,6,63,53,41,31,20,55,28,56.333333333333336,0,Video
3,315,22,25,10,1,0,60,35,8,8,52,98,10,58.5,0,Case Study
1,285,2,7,1,6,3,28,96,94,95,15,68,96,38.25,0,Case Study
2,290,9,35,9,8,7,38,0,6,83,60,97,57,52.58333333333333,0,Video
0,212,1,47,1,0,1,87,14,67,91,53,97,74,14.083333333333332,0,Case Study
7,164,29,29,8,7,5,25,76,18,96,39,76,26,71.70833333333334,1,Mixed
2,4,26,22,9,6,5,16,16,93,67,25,57,96,49.91666666666667,0,Quiz
6,338,22,41,9,5,8,70,23,30,45,79,77,20,68.33333333333334,1,Video
4,378,12,43,1,5,4,12,57,34,97,91,74,38,46.25,0,Video
4,77,12,13,2,5,3,68,71,56,66,64,41,94,42.708333333333336,0,Quiz
6,409,17,13,1,8,4,25,90,84,25,99,37,45,67.54166666666666,1,Case Study
8,61,2,1,10,1,4,48,22,60,7,73,67,65,59.54166666666667,0,Quiz
4,131,26,54,2,0,7,66,45,30,5,63,52,90,35.45833333333333,0,Quiz
0,88,6,36,10,5,7,6,71,82,79,42,32,35,33.916666666666664,0,Case Study
0,236,13,4,8,7,1,57,7,94,23,16,70,74,51.08333333333333,0,Quiz
1,41,19,37,5,2,6,48,58,52,47,58,55,81,30.083333333333336,0,Case Study
5,88,28,44,7,0,7,52,89,31,93,22,71,64,47.79166666666667,0,Case Study
8,401,29,40,2,8,5,64,58,65,44,6,100,62,74.20833333333334,1,Quiz
7,295,16,53,8,0,4,61,12,58,12,43,50,98,55.91666666666667,0,Mixed
4,327,28,59,6,2,8,16,38,9,68,52,73,34,51.875,0,Case Study
0,294,29,60,8,7,2,42,100,1,24,70,42,30,47.5,0,Quiz
6,103,20,46,1,2,3,24,27,65,19,78,14,27,40.541666666666664,0,Case Study
4,13,11,13,1,3,8,2,88,59,81,33,37,0,35.541666666666664,0,Mixed
5,287,24,55,7,7,5,78,60,87,81,45,14,24,60.08333333333333,0,Mixed
6,178,15,38,8,0,7,28,15,16,65,67,4,42,51.16666666666667,0,Video
2,124,23,24,3,5,6,31,1,95,73,77,92,83,42.66666666666667,0,Case Study
2,421,11,19,5,0,1,25,81,15,44,77,82,66,47.04166666666667,0,Case Study
4,352,14,1,1,0,2,15,16,15,46,15,53,62,50.416666666666664,0,Quiz
5,22,24,38,7,7,0,24,29,45,62,70,50,50,53.29166666666667,0,Case Study
8,62,9,5,5,3,8,53,12,38,75,95,9,1,57.08333333333333,0,Video
4,142,29,16,8,0,6,27,95,30,76,18,11,81,55.91666666666667,0,Mixed
0,480,24,58,8,6,0,72,92,87,54,1,3,63,52.0,0,Mixed
3,152,30,24,9,4,2,55,93,0,74,9,94,73,58.20833333333333,0,Video
4,144,6,56,7,4,3,64,81,10,18,49,17,68,38.0,0,Case Study
4,224,19,27,1,0,3,92,12,84,34,80,79,8,41.083333333333336,0,Case Study
6,449,4,1,3,5,4,85,42,3,52,100,35,1,64.95833333333333,1,Video
3,461,0,34,8,8,2,79,84,70,25,11,24,33,57.083333333333336,0,Quiz
0,308,29,36,3,8,2,40,93,25,13,69,86,59,47.833333333333336,0,Mixed
4,103,16,4,8,7,0,50,20,49,44,21,75,60,59.541666666666664,0,Video
6,103,2,0,1,4,6,70,54,11,43,31,97,30,45.541666666666664,0,Video
5,434,12,39,5,0,0,77,80,94,87,83,35,9,52.45833333333333,0,Case Study
4,38,13,11,4,8,1,28,39,80,64,0,100,75,48.833333333333336,0,Mixed
3,434,23,55,5,0,3,82,82,96,50,53,66,35,47.70833333333333,0,Case Study
1,197,29,35,8,7,3,18,14,74,42,57,8,84,52.83333333333333,0,Video
3,133,17,44,10,4,4,65,72,91,85,69,60,48,47.41666666666667,0,Quiz
2,66,3,22,4,2,1,40,51,95,22,82,52,69,28.5,0,Mixed
0,390,17,46,4,6,3,44,73,64,55,17,17,48,41.75,0,Video
7,178,29,30,3,6,0,14,94,46,18,5,42,2,63.29166666666667,0,Video
4,455,4,10,7,8,1,2,52,91,81,44,34,73,66.45833333333333,1,Quiz
3,41,24,9,3,6,0,10,86,52,75,96,62,4,47.833333333333336,0,Video
7,447,15,2,3,2,3,52,51,70,54,22,97,89,69.5,1,Video
6,14,0,53,10,0,3,45,29,1,91,22,77,60,36.08333333333333,0,Mixed
1,110,20,13,5,7,6,29,32,23,91,25,3,84,45.70833333333333,0,Mixed
0,156,13,15,5,2,8,56,56,3,59,76,92,89,34.25,0,Mixed
3,288,14,9,6,7,8,17,51,18,58,6,40,25,58.875,0,Case Study
7,477,8,28,8,7,4,50,8,25,32,78,44,71,74.5,1,Quiz
1,230,14,9,10,4,0,47,53,74,18,43,49,4,52.458333333333336,0,Mixed
2,410,16,11,6,0,0,65,0,39,27,26,78,14,52.58333333333333,0,Case Study
0,419,24,29,1,6,5,95,43,49,51,25,27,15,46.208333333333336,0,Case Study
0,156,23,40,8,4,1,7,98,42,48,96,41,0,40.0,0,Quiz
2,37,3,0,8,7,7,21,74,74,36,78,79,15,45.04166666666667,0,Quiz
4,440,11,4,9,8,8,5,97,66,25,35,75,36,73.83333333333333,1,Video
2,96,26,19,9,6,3,75,79,11,98,54,68,2,54.5,0,Case Study
0,410,25,7,2,6,4,56,8,66,97,63,97,51,53.33333333333333,0,Mixed
0,438,4,42,2,0,7,35,31,26,98,90,0,46,27.75,0,Quiz
7,288,28,11,3,3,2,78,14,53,39,56,38,94,68.375,1,Case Study
1,253,4,0,1,1,4,91,11,65,79,68,95,12,33.41666666666667,0,Mixed
2,195,10,56,4,1,2,56,96,48,37,60,89,79,27.625,0,Case Study
1,85,27,53,4,1,2,48,77,15,76,1,16,54,29.166666666666668,0,Quiz
2,321,5,19,9,3,2,44,56,1,86,54,90,20,49.625,0,Video
6,9,6,27,9,0,6,81,7,59,53,96,87,65,43.875,0,Case Study
0,4,23,56,9,3,6,65,71,53,21,79,34,53,29.916666666666664,0,Mixed
7,122,30,42,10,1,6,76,26,29,15,86,45,26,62.70833333333333,0,Quiz
1,329,13,36,7,4,7,44,61,83,27,37,41,37,44.833333333333336,0,Video
2,352,23,46,2,2,4,78,11,37,34,79,38,89,41.416666666666664,0,Mixed
8,117,10,36,10,7,4,19,64,27,59,77,89,57,64.625,0,Mixed
6,293,29,11,5,3,3,63,41,24,44,28,48,61,68.95833333333334,1,Mixed
3,396,12,36,4,0,6,92,61,95,45,25,61,45,43.875,0,Case Study
4,158,1,48,8,0,3,92,10,9,71,34,37,88,34.58333333333333,0,Quiz
1,302,24,48,2,2,1,66,42,59,54,78,22,10,36.20833333333333,0,Mixed
7,227,6,55,6,8,3,82,94,41,85,66,21,71,54.58333333333333,0,Case Study
3,364,19,43,5,6,7,2,16,39,84,86,3,7,53.291666666666664,0,Quiz
8,215,3,55,2,1,8,53,96,96,25,28,48,96,40.958333333333336,0,Quiz
4,435,26,27,10,8,2,77,31,76,84,33,58,70,76.875,1,Case Study
8,183,7,46,1,1,6,63,92,41,24,96,72,63,42.375,0,Case Study
3,14,19,14,8,2,8,39,84,46,64,40,67,20,45.458333333333336,0,Mixed
4,156,28,5,2,1,3,58,84,36,5,40,70,71,51.0,0,Quiz
8,135,30,43,7,2,2,54,39,79,22,22,86,62,62.875,0,Video
7,260,21,58,9,5,4,61,22,21,63,70,1,84,63.45833333333333,0,Case Study
2,156,20,60,9,8,0,3,55,56,86,2,48,63,46.25,0,Quiz
0,46,18,19,8,8,2,59,5,83,42,57,87,19,43.166666666666664,0,Quiz
2,323,12,49,10,6,7,74,85,26,22,31,94,7,50.958333333333336,0,Mixed
3,331,13,13,9,2,7,94,49,40,95,30,30,57,57.416666666666664,0,Video
1,172,9,1,2,3,3,95,36,79,29,81,39,45,36.29166666666667,0,Mixed
0,129,10,8,6,5,1,90,63,33,76,42,47,30,38.625,0,Video
6,410,1,36,4,4,7,29,53,31,17,6,50,92,53.33333333333333,0,Video
7,94,24,19,4,1,7,1,71,89,86,0,42,8,55.29166666666667,0,Case Study
6,114,25,25,5,5,3,61,48,88,78,60,97,14,58.5,0,Quiz
4,242,8,28,3,2,2,48,98,65,96,13,54,93,41.58333333333333,0,Quiz
0,419,16,0,1,7,1,8,10,11,20,51,87,25,50.70833333333333,0,Quiz
6,291,25,54,8,1,8,91,87,39,56,95,48,9,58.125,0,Video
6,281,2,34,5,0,0,30,48,72,22,5,89,28,45.458333333333336,0,Quiz
8,298,23,5,3,8,6,97,20,75,90,9,79,79,77.16666666666667,1,Case Study
2,282,5,36,10,2,4,60,65,89,44,70,56,35,44.0,0,Video
8,68,4,52,7,0,7,78,62,72,43,89,76,83,42.33333333333333,0,Video
0,147,4,58,7,6,3,47,82,9,81,97,14,36,26.625,0,Video
0,10,21,4,1,4,6,24,27,95,87,29,26,85,31.416666666666664,0,Video
3,253,14,32,9,4,4,35,16,97,46,99,67,70,52.41666666666667,0,Case Study
8,329,22,48,2,0,4,7,5,47,39,20,79,22,55.708333333333336,0,Quiz
5,359,16,50,5,8,8,72,18,19,50,59,63,40,58.583333333333336,0,Case Study
2,37,8,13,5,6,8,57,55,38,41,80,93,92,38.54166666666667,0,Quiz
0,133,2,11,8,7,8,100,27,59,6,96,29,79,39.54166666666667,0,Case Study
3,199,19,41,8,8,5,44,65,65,49,73,35,27,53.91666666666667,0,Mixed
8,22,25,19,7,5,5,61,37,64,47,62,66,47,65.41666666666667,1,Mixed
2,302,16,52,7,4,4,38,36,50,83,41,85,37,44.33333333333333,0,Mixed
8,345,28,49,6,5,8,95,67,35,90,50,85,30,71.375,1,Mixed
6,301,26,23,6,1,7,57,85,23,5,63,48,13,63.791666666666664,0,Video
3,362,9,58,9,3,6,80,89,26,90,75,75,96,46.70833333333333,0,Video
2,395,2,42,6,2,6,98,48,1,8,55,54,72,39.70833333333333,0,Case Study
4,217,17,33,2,6,5,100,42,30,56,79,84,90,47.291666666666664,0,Case Study
4,140,17,24,2,8,4,82,35,56,30,40,55,87,48.833333333333336,0,Mixed
2,103,29,49,5,4,3,63,57,77,20,31,67,76,40.291666666666664,0,Quiz
8,445,16,28,4,5,2,43,12,65,89,14,94,89,71.79166666666667,1,Mixed
3,209,23,56,2,1,2,28,51,28,39,61,43,28,34.833333333333336,0,Case Study
4,472,2,38,3,2,5,58,57,14,44,26,30,50,45.666666666666664,0,Mixed
3,480,2,30,7,2,3,70,31,11,76,27,57,48,50.875,0,Case Study
4,110,5,55,8,8,5,91,80,100,48,80,86,42,42.83333333333333,0,Mixed
6,103,12,46,6,6,2,8,99,27,86,63,52,91,49.041666666666664,0,Quiz
8,315,23,42,5,7,3,91,59,83,19,58,83,91,70.375,1,Mixed
6,170,28,49,1,8,8,5,82,23,100,57,78,71,54.083333333333336,0,Quiz
4,459,14,22,8,5,4,28,57,20,91,1,22,86,66.375,1,Quiz
6,355,24,43,3,3,6,57,98,9,16,35,27,92,58.04166666666667,0,Case Study
4,323,8,37,6,0,1,16,55,77,27,70,15,4,44.708333333333336,0,Quiz
2,132,3,19,3,7,4,15,27,100,40,12,36,41,36.75,0,Video
6,375,13,22,7,6,8,86,0,17,65,14,20,6,68.375,1,Video
1,292,4,44,7,1,2,94,41,87,24,88,78,41,33.041666666666664,0,Video
8,327,1,51,9,7,8,2,81,13,57,86,16,35,63.625,0,Case Study
0,126,10,15,5,4,5,20,47,33,40,59,36,26,34.0,0,Video
5,105,8,49,8,6,3,63,39,57,5,21,76,57,46.25,0,Case Study
6,91,23,41,10,3,6,89,96,75,74,62,18,45,57.54166666666667,0,Case Study
7,286,2,59,10,4,7,35,62,21,37,89,29,65,55.041666666666664,0,Video
8,377,26,54,8,7,5,100,75,69,5,96,44,24,75.95833333333333,1,Quiz
1,392,27,7,1,0,4,85,71,35,44,74,17,72,47.70833333333333,0,Mixed
1,50,28,49,5,0,5,61,87,44,74,73,77,26,29.458333333333336,0,Case Study
4,28,8,20,3,3,4,41,79,35,13,24,61,0,35.916666666666664,0,Video
4,461,2,0,1,2,7,75,3,21,65,100,35,86,51.708333333333336,0,Case Study
5,295,24,54,4,1,0,41,37,77,39,47,99,73,48.66666666666667,0,Quiz
2,296,1,7,8,2,6,60,26,79,2,42,83,41,46.833333333333336,0,Quiz
7,213,11,28,3,0,1,12,8,60,98,37,51,51,48.75,0,Video
0,266,9,31,10,0,8,10,15,99,96,40,18,24,37.833333333333336,0,Case Study
5,406,8,37,2,5,0,53,55,55,23,44,43,53,51.54166666666667,0,Mixed
3,256,14,4,9,4,5,15,75,88,18,87,6,66,59.541666666666664,0,Mixed
0,301,7,46,10,7,8,7,30,95,17,39,43,5,43.291666666666664,0,Case Study
6,100,24,21,5,1,0,58,87,32,63,96,67,57,53.41666666666667,0,Case Study
8,404,4,46,7,3,3,56,13,44,87,16,33,69,61.58333333333333,0,Case Study
3,345,10,33,2,7,3,39,24,35,34,87,65,52,47.25,0,Video
3,109,26,0,9,5,8,58,33,19,61,100,68,65,61.66666666666667,0,Quiz
5,419,1,54,9,0,4,1,66,17,0,56,54,57,48.58333333333333,0,Mixed
2,181,23,54,4,3,4,93,23,37,99,1,9,81,36.541666666666664,0,Video
5,470,27,25,4,0,5,93,72,66,24,95,95,86,63.45833333333333,0,Case Study
6,312,14,42,6,1,0,75,25,22,44,61,41,1,53.5,0,Case Study
2,0,5,9,10,4,0,9,19,95,48,87,40,75,41.5,0,Quiz
6,318,7,29,10,7,8,43,63,15,97,8,76,21,67.0,1,Case Study
2,437,26,49,10,7,2,10,9,58,88,67,68,36,63.95833333333333,0,Video
1,54,4,17,6,2,3,78,82,68,15,80,9,19,29.625,0,Video
3,370,15,16,1,3,0,79,66,67,97,16,9,23,48.54166666666667,0,Quiz
7,423,25,25,9,5,8,80,23,20,92,49,90,83,80.5,1,Video
8,398,17,7,2,2,7,89,4,77,18,93,59,64,68.83333333333334,1,Mixed
6,148,5,46,5,1,1,1,66,94,22,39,50,64,39.66666666666667,0,Video
0,430,4,39,9,5,7,49,57,77,82,57,20,80,44.91666666666667,0,Video
2,456,27,48,4,4,6,11,26,69,24,74,7,0,52.75,0,Video
8,308,15,11,3,4,5,89,79,11,15,84,64,93,67.08333333333334,1,Mixed
0,136,12,26,7,4,0,22,14,15,53,20,91,2,35.666666666666664,0,Case Study
8,201,27,7,6,4,6,17,34,80,72,17,77,45,74.125,1,Video
7,435,4,24,8,2,6,61,75,86,0,54,84,54,65.5,1,Quiz
0,312,12,45,3,6,8,95,52,13,41,28,29,74,34.75,0,Mixed
5,116,16,3,5,5,0,61,43,60,18,23,84,87,56.45833333333333,0,Quiz
4,153,17,32,10,3,1,37,25,70,96,73,48,85,53.125,0,Video
5,424,7,0,4,1,8,66,46,45,33,16,8,63,59.041666666666664,0,Quiz
4,290,12,18,4,8,8,37,33,31,79,17,16,44,57.08333333333333,0,Video
5,62,29,30,4,0,5,66,86,14,54,41,68,25,46.20833333333333,0,Mixed
4,243,28,15,10,3,5,93,94,43,17,83,57,76,66.625,1,Quiz
4,24,18,13,8,0,3,60,49,16,33,100,56,64,46.25,0,Quiz
3,89,25,52,6,5,3,0,83,40,88,44,61,23,42.833333333333336,0,Video
2,74,2,47,3,3,4,93,11,53,44,81,94,73,21.833333333333336,0,Video
2,293,23,4,10,4,2,44,86,43,5,16,51,34,63.958333333333336,0,Case Study
3,385,7,40,5,4,0,95,3,97,20,72,60,23,46.41666666666667,0,Video
8,390,1,25,6,8,0,27,86,4,69,13,39,27,69.5,1,Video
1,209,7,27,5,0,6,20,47,26,95,48,37,99,31.083333333333336,0,Case Study
8,474,26,1,6,1,0,12,54,86,47,28,42,79,82.75,1,Video
0,417,12,49,8,5,0,26,0,77,38,94,62,15,44.375,0,Video
0,346,12,5,7,4,2,99,88,78,30,3,18,58,49.666666666666664,0,Case Study
4,16,0,8,5,6,3,6,65,42,9,81,99,80,41.166666666666664,0,Mixed
5,127,5,32,10,2,3,21,29,96,29,19,49,53,47.91666666666667,0,Mixed
5,426,23,40,6,2,1,73,2,30,17,46,32,78,61.375,0,Video
2,442,18,24,4,1,0,52,20,98,59,8,12,15,49.916666666666664,0,Video
6,363,15,47,9,2,2,78,88,16,87,76,77,14,60.625,0,Case Study
8,250,7,12,4,0,3,78,83,91,72,78,96,97,56.91666666666667,0,Case Study
7,178,27,8,1,4,2,3,48,82,94,26,61,10,62.29166666666667,0,Mixed
5,181,0,52,7,4,7,95,85,53,14,14,92,64,40.666666666666664,0,Quiz
7,151,26,12,7,6,0,22,84,61,3,91,42,78,71.16666666666666,1,Video
4,24,26,30,4,3,1,69,61,86,62,100,48,89,43.75,0,Quiz
7,454,15,40,3,2,6,87,96,31,39,18,35,67,60.291666666666664,0,Quiz
3,179,8,10,8,0,3,83,37,39,8,89,9,42,45.333333333333336,0,Case Study
7,197,12,3,5,7,7,100,14,12,8,51,94,68,66.58333333333333,1,Video
1,343,10,33,10,2,2,83,51,83,25,25,5,98,46.66666666666667,0,Video
4,160,12,60,7,1,5,75,78,34,3,88,56,12,36.916666666666664,0,Case Study
8,176,24,37,4,3,8,32,45,4,80,25,0,9,59.833333333333336,0,Quiz
3,284,20,45,4,2,0,27,24,72,15,25,70,74,43.458333333333336,0,Case Study
5,62,9,3,8,0,0,7,20,28,14,45,57,81,48.95833333333333,0,Mixed
0,149,3,37,8,2,7,0,87,69,98,91,90,97,27.958333333333336,0,Video
8,153,30,18,2,1,2,36,4,24,51,48,20,40,61.125,0,Mixed
0,155,26,5,2,7,4,62,69,94,68,81,91,49,44.958333333333336,0,Case Study
4,369,5,33,3,5,0,21,46,21,4,95,79,86,47.875,0,Video
3,468,27,17,3,8,4,69,86,65,19,52,55,70,67.625,1,Mixed
2,48,6,12,1,7,5,20,67,44,78,2,86,58,33.5,0,Mixed
5,454,4,40,3,2,7,95,90,68,17,65,19,38,48.541666666666664,0,Quiz
1,336,10,22,6,4,2,34,17,90,1,96,53,2,45.625,0,Video
2,83,12,18,8,6,2,78,20,88,92,41,24,75,45.70833333333333,0,Mixed
4,360,25,44,10,4,8,4,91,71,12,18,27,6,64.0,0,Mixed
8,176,24,10,6,7,3,59,98,0,3,16,4,48,74.58333333333334,1,Quiz
1,147,18,0,5,4,3,45,85,83,41,32,20,25,45.75,0,Mixed
7,117,30,23,4,0,6,49,22,43,73,75,17,32,57.0,0,Mixed
1,341,22,53,3,4,1,47,63,86,60,48,46,100,39.583333333333336,0,Mixed
4,475,9,6,4,3,7,5,66,95,94,55,69,47,60.04166666666667,0,Quiz
6,62,9,24,7,5,5,88,39,74,7,62,56,78,51.58333333333333,0,Mixed
7,188,10,20,1,2,2,55,9,38,66,2,92,1,48.70833333333333,0,Mixed
0,359,20,14,7,4,8,58,88,53,62,48,18,70,51.958333333333336,0,Video
5,48,29,0,1,1,4,28,51,87,8,54,96,31,49.875,0,Video
0,326,6,11,2,5,7,70,71,74,93,25,64,3,38.083333333333336,0,Quiz
1,256,30,57,4,5,6,76,74,28,10,98,2,19,41.791666666666664,0,Case Study
0,223,17,6,1,4,7,17,60,53,98,71,41,35,37.79166666666667,0,Video
4,140,3,14,9,5,6,1,63,89,100,51,20,31,51.083333333333336,0,Quiz
8,477,1,20,6,6,2,7,4,15,41,99,98,27,71.875,1,Mixed
5,214,13,18,1,4,1,74,52,98,12,6,39,76,48.04166666666667,0,Mixed
0,434,12,59,1,0,6,96,54,19,35,45,66,0,25.833333333333332,0,Quiz
0,378,28,28,6,7,2,53,36,45,12,45,24,59,55.5,0,Mixed
1,439,11,24,4,3,2,37,55,66,11,99,54,55,45.666666666666664,0,Mixed
8,210,6,32,4,8,1,47,58,64,36,15,83,34,59.75,0,Case Study
2,317,1,48,6,5,3,26,92,57,73,23,51,29,38.20833333333333,0,Mixed
0,31,12,31,7,0,7,19,68,52,72,60,43,53,25.041666666666668,0,Video
4,157,13,48,9,2,0,11,72,0,51,53,97,35,44.54166666666667,0,Mixed
6,284,26,34,10,2,0,42,58,80,70,61,84,54,67.58333333333334,1,Quiz
5,304,16,43,5,3,4,60,1,65,1,0,55,88,51.791666666666664,0,Case Study
0,428,8,37,9,5,4,30,64,28,55,48,54,79,47.333333333333336,0,Mixed
4,476,16,25,4,6,0,90,59,83,59,24,86,57,62.583333333333336,0,Quiz
4,285,7,10,10,3,5,95,50,69,22,9,69,82,59.125,0,Video
5,143,30,34,2,5,0,60,29,7,39,79,76,64,52.33333333333333,0,Mixed
2,423,1,7,3,0,4,73,10,28,63,15,86,68,42.125,0,Case Study
4,18,27,45,1,7,8,66,91,50,84,57,72,50,40.75,0,Mixed
6,17,23,13,6,6,4,90,75,32,22,71,80,21,59.20833333333333,0,Quiz
4,256,12,9,6,8,5,34,38,2,28,28,65,87,60.916666666666664,0,Case Study
4,77,2,1,1,2,7,94,89,59,77,91,18,100,35.458333333333336,0,Mixed
4,370,15,45,3,1,0,14,76,34,89,5,82,52,44.91666666666667,0,Video
2,174,5,8,5,0,1,15,71,68,50,15,6,99,36.5,0,Case Study
0,193,18,2,3,2,8,12,62,90,68,19,62,35,38.54166666666667,0,Video
4,475,29,20,10,4,2,34,63,75,94,79,41,67,76.79166666666667,1,Quiz
8,112,6,25,3,1,5,74,60,83,88,70,41,35,47.16666666666667,0,Mixed
0,113,9,7,10,2,4,58,53,19,30,77,58,51,39.95833333333333,0,Video
2,221,8,47,3,3,1,20,91,72,49,42,19,52,30.958333333333332,0,Quiz
3,165,1,1,5,6,6,53,93,38,19,25,72,81,46.5,0,Mixed
0,434,30,5,5,2,3,74,72,3,54,89,16,49,56.83333333333333,0,Quiz
0,318,27,27,4,8,0,29,94,18,80,77,26,79,51.0,0,Video
7,131,27,52,1,7,3,47,57,90,1,70,46,40,53.08333333333333,0,Quiz
1,384,14,28,5,3,5,34,84,44,24,32,1,17,45.375,0,Case Study
7,263,29,25,10,0,6,85,55,42,12,25,62,21,71.08333333333334,1,Mixed
6,412,4,24,5,0,6,37,33,12,91,44,61,65,54.416666666666664,0,Quiz
1,54,28,11,4,0,6,30,30,12,69,83,99,20,37.625,0,Video
5,358,21,4,6,0,2,77,51,59,66,62,18,99,64.04166666666667,0,Mixed
5,130,3,33,10,7,5,23,88,56,57,66,16,43,53.041666666666664,0,Case Study
